country,region,ppo_action,sac_action
Bosnia and Herzegovina,Balkan,0.11718897521495819,0.06397092342376709
Croatia,Balkan,0.035924121737480164,0.01686874032020569
Denmark,Nordic,0.15548664331436157,0.007291369140148163
Finland,Nordic,0.20377615094184875,0.01476440578699112
Iceland,Nordic,0.05834090709686279,0.052876535803079605
Kosovo,Balkan,0.0952688455581665,0.06670770049095154
North Macedonia,Balkan,0.11849191784858704,0.030371516942977905
Norway,Nordic,0.17401906847953796,0.009525187313556671
Serbia,Balkan,0.0244147852063179,0.05060306936502457
Sweden,Nordic,0.029186345636844635,0.0060630738735198975
